"Identifier","StartDate"
"2167054531","01-01-2007"
"2167054630","01-01-2007"
"2167054729","01-01-2007"
"2167054828","01-01-2007"
"2167054927","01-01-2007"
"2167055026","01-01-2007"
"2167064825","01-01-2007"
"2167064924","01-01-2007"
"2167065023","01-01-2007"
"2167065122","01-01-2007"
"2167065221","01-01-2007"
"2167065320","01-01-2007"
"2167065419","01-01-2007"
"2167065518","01-01-2007"
"2167065617",
"2167065716","01-01-2007"
"2167065815","01-01-2007"
"2167065914","01-01-2007"
"2167066013","01-01-2007"
"2167066211","01-01-2007"
"2167066310","01-01-2007"
"2167066409","01-01-2007"
"2167066508","01-01-2007"
"2167066607","01-01-2007"
"2167066706","01-01-2007"
"2167066805","01-01-2007"
"2167066904","01-01-2007"
"2167067003","01-01-2007"
"2167067102","01-01-2007"
"2167067201","01-01-2007"
"2167067397","01-01-2007"
"2167067496","01-01-2007"
"2167067595","01-01-2007"
"2167067694","01-01-2007"
"2167067793","01-01-2007"
"2167067892","01-01-2007"
"2167067991","01-01-2007"
"2167068090","01-01-2007"
"2167068288","01-01-2007"
"2167068387","01-01-2007"
"2167068486","01-01-2007"
"2167068585","01-01-2007"
"2167068684","01-01-2007"
"2167068783","01-01-2007"
"2167068981","01-01-2007"
"2167069080","01-01-2007"
"2167069179","01-01-2007"
"2167069278","01-01-2007"
"2167069377","01-01-2007"
"2167069476","01-01-2007"
"2167069575","01-01-2007"
"2167069773","01-01-2007"
"2167069872","01-01-2007"
"2167069971","01-01-2007"
"2167070169","01-01-2007"
"2167070268","01-01-2007"
"2167070367","01-01-2007"
"2167070565","01-01-2007"
"2167070664","01-01-2007"
"2167070763","01-01-2007"
"2167070862","01-01-2007"
"2167070961","01-01-2007"
"2167071060","01-01-2007"
"2167071159","01-01-2007"
"2167071258","01-01-2007"
"2167071357","01-01-2007"
"2167071456","01-01-2007"
"2167071555","01-01-2007"
"2167071654","01-01-2007"
"2167071753","01-01-2007"
"2167071852","01-01-2007"
"2167071951","01-01-2007"
"2167072050","01-01-2007"
"2167072149","01-01-2007"
"2167072248","01-01-2007"
"2167072347","01-01-2007"
"2167072446","01-01-2007"
"2167072545","01-01-2007"
"2167072644","01-01-2007"
"2167072743","01-01-2007"
"2167072842","01-01-2007"
"2167072941","01-01-2007"
"2167073040","01-01-2007"
"2167073139","01-01-2007"
"2167073238","01-01-2007"
"2167073337","01-01-2007"
"2167073436","01-01-2007"
"2167073535","01-01-2007"
"2167073634","01-01-2007"
"2167073733","01-01-2007"
"2167073832","01-01-2007"
"2167073931","01-01-2007"
"2167074030","01-01-2007"
"2167074129","01-01-2007"
"2167074228","01-01-2007"
"2167074327","01-01-2007"
"2167074426","01-01-2007"
"2167074624",
"2167074723","01-01-2007"
"2167074921","01-01-2007"
"2167075020","01-01-2007"
"2167075119","01-01-2007"
"2167075218","01-01-2007"
"2167075317","01-01-2007"
"2167075416","01-01-2007"
"2167075713","01-01-2007"
"2167075812","01-01-2007"
"2167076010","01-01-2007"
"2167076109","01-01-2007"
"2167076208","01-01-2007"
"2167076307","01-01-2007"
"2167076703","01-01-2007"
"2167076802","01-01-2007"
"2167077097","01-01-2007"
"2167077196","01-01-2007"
"2167077295","01-01-2007"
"2167077394","01-01-2007"
"2167077493","01-01-2007"
"2167077592","01-01-2007"
"2167077691","01-01-2007"
"2167077790","01-01-2007"
"2167077889","01-01-2007"
"2167077988","01-01-2007"
"2167078087","01-01-2007"
"2167078186","01-01-2007"
"2167078285","01-01-2007"
"2167078384","01-01-2007"
"2167078879","01-01-2007"
"2167078978","01-01-2007"
"2167079077","01-01-2007"
"2167079176","01-01-2007"
"2167079275","01-01-2007"
"2167079374","01-01-2007"
"2167079473","01-01-2007"
"2167079671","01-01-2007"
"2167079770","01-01-2007"
"2167079869","01-01-2007"
"2167079968","01-01-2007"
"2167080067","01-01-2007"
"2167080166","01-01-2007"
"2167080265","01-01-2007"
"2167080364","01-01-2007"
"2167080463","01-01-2007"
"2167080562","01-01-2007"
"2167080661","01-01-2007"
"2167080760","01-01-2007"
"2167080859","01-01-2007"
"2167080958","01-01-2007"
"2167081057","01-01-2007"
"2167081156","01-01-2007"
"2167081255","01-01-2007"
"2167081354","01-01-2007"
"2167081453","01-01-2007"
"2167081552","01-01-2007"
"2167081651","01-01-2007"
"2167081849","01-01-2007"
"2167081948","01-01-2007"
"2167082047","01-01-2007"
"2167082146","01-01-2007"
"2167082245","01-01-2007"
"2167082344","01-01-2007"
"2167082443","01-01-2007"
"2167082542","01-01-2007"
"2167082641","01-01-2007"
"2167082740","01-01-2007"
"2167082839","01-01-2007"
"2167082938","01-01-2007"
"2167083037","01-01-2007"
"2167083136","01-01-2007"
"2167083235","01-01-2007"
"2167083334","01-01-2007"
"2167083433","01-01-2007"
"2167083532","01-01-2007"
"2167083631","01-01-2007"
"2167083730","01-01-2007"
"2167083829","01-01-2007"
"2167083928","01-01-2007"
"2167084027","01-01-2007"
"2167084126","01-01-2007"
"2167084225","01-01-2007"
"2167084324","01-01-2007"
"2167084423","01-01-2007"
"2167084522","01-01-2007"
"2167084621","01-01-2007"
"2167084720","01-01-2007"
"2167084819","01-01-2007"
"2167084918","01-01-2007"
"2167085017","01-01-2007"
"2167085116","01-01-2007"
"2167085215","01-01-2007"
"2167085314","01-01-2007"
"2167085413","01-01-2007"
"2167085512","01-01-2007"
"2167085611","01-01-2007"
"2167085710","01-01-2007"
"2167085809","01-01-2007"
"2167085908","01-01-2007"
"2167086007","01-01-2007"
"2167086106","01-01-2007"
"2167086205","01-01-2007"
"2167086304","01-01-2007"
"2167086403",
"2167086502","01-01-2007"
"2167086601",
"2167086797","01-01-2007"
"2167086896","01-01-2007"
"2167086995","01-01-2007"
"2167087094","01-01-2007"
"2167087193","01-01-2007"
"2167087292","01-01-2007"
"2167087391","01-01-2007"
"2167087490","01-01-2007"
"2167087589","01-01-2007"
"2167087688","01-01-2007"
"2167087787","01-01-2007"
"2167087886","01-01-2007"
"2167087985","01-01-2007"
"2167088084","01-01-2007"
"2167088183","01-01-2007"
"2167088282","01-01-2007"
"2167088381","01-01-2007"
"2167088480","01-01-2007"
"2167088678","01-01-2007"
"2167088777","01-01-2007"
"2167088975","01-01-2007"
"2167089074","01-01-2007"
"2167089173","01-01-2007"
"2167089272","01-01-2007"
"2167089371","01-01-2007"
"2167089470","01-01-2007"
"2167089569","01-01-2007"
"2167089668","01-01-2007"
"2167089767","01-01-2007"
"2167089866","01-01-2007"
"2167089965","01-01-2007"
"2167090064","01-01-2007"
"2167090163","01-01-2007"
"2167090262","01-01-2007"
"2167090361","01-01-2007"
"2167090460","01-01-2007"
"2167090559","01-01-2007"
"2167090658","01-01-2007"
"2167090757","01-01-2007"
"2167090856","01-01-2007"
"2167090955","01-01-2007"
"2167091153","01-01-2007"
"2167091252","01-01-2007"
"2167091351","01-01-2007"
"2167091450","01-01-2007"
"2167091648","01-01-2007"
"2167091747","01-01-2007"
"2167091846","01-01-2007"
"2167092044","01-01-2007"
"2167092143","01-01-2007"
"2167092242","01-01-2007"
"2167092341","01-01-2007"
"2167092440","01-01-2007"
"2167092539","01-01-2007"
"2167092638","01-01-2007"
"2167092737","01-01-2007"
"2167092836","01-01-2007"
"2167092935","01-01-2007"
"2167093034","01-01-2007"
"2167093133","01-01-2007"
"2167093232","01-01-2007"
"2167093331","01-01-2007"
"2167093430","01-01-2007"
"2167093628","01-01-2007"
"2167093727","01-01-2007"
"2167093826","01-01-2007"
"2167093925","01-01-2007"
"2167094024","01-01-2007"
"2167094123","01-01-2007"
"2167094222","01-01-2007"
"2167094321","01-01-2007"
"2167094420","01-01-2007"
"2167094519","01-01-2007"
"2167094618","01-01-2007"
"2167094717","01-01-2007"
"2167094816",
"2167094915","01-01-2007"
"2167095014","01-01-2007"
"2167095113","01-01-2007"
"2167095311","01-01-2007"
"2167095410","01-01-2007"
"2167095509","01-01-2007"
"2167095608","01-01-2007"
"2167095806","01-01-2007"
"2167096497","01-01-2007"
"2167096596","01-01-2007"
"2167096794","01-01-2007"
"2167096893","01-01-2007"
"2167096992","01-01-2007"
"2167097091","01-01-2007"
"2167097190","01-01-2007"
"2167097289","01-01-2007"
"2167097388","01-01-2007"
"2167097487","01-01-2007"
"2167097586","01-01-2007"
"2167097685","01-01-2007"
"2167097784","01-01-2007"
"2167097883","01-01-2007"
"2167097982","01-01-2007"
"2167098081","01-01-2007"
"2167098180","01-01-2007"
"2167098279","01-01-2007"
"2167098378","01-01-2007"
"2167098477","01-01-2007"
"2167098576","01-01-2007"
"2167098675","01-01-2007"
"2167098774","01-01-2007"
"2167098873","01-01-2007"
"2167098972","01-01-2007"
"2167099071","01-01-2007"
"2167099269","01-01-2007"
"2167099368","01-01-2007"
"2167099467","01-01-2007"
"2167099566","01-01-2007"
"2167099665","01-01-2007"
"2167099764","01-01-2007"
"2167099863","01-01-2007"
"2167099962","01-01-2007"
"2167100160",
"2167100259","01-01-2007"
"2167100358","01-01-2007"
"2167100457","01-01-2007"
"2167100556","01-01-2007"
"2167100655","01-01-2007"
"2167100754","01-01-2007"
"2167100853","01-01-2007"
"2167100952","01-01-2007"
"2167101051","01-01-2007"
"2167101150","01-01-2007"
"2167101348","01-01-2007"
"2167101447","01-01-2007"
"2167101546",
"2167101645","01-01-2007"
"2167101744",
"2167101843","01-01-2007"
"2167101942","01-01-2007"
"2167102041","01-01-2007"
"2167102140","01-01-2007"
"2167102239","01-01-2007"
"2167102338","01-01-2007"
"2167102437","01-01-2007"
"2167102536","01-01-2007"
"2167102635","01-01-2007"
"2167102734","01-01-2007"
"2167102833","01-01-2007"
"2167102932","01-01-2007"
"2167103130","01-01-2007"
"2167103229","01-01-2007"
"2167103328","01-01-2007"
"2167103427","01-01-2007"
"2167103526","01-01-2007"
"2167103625","01-01-2007"
"2167103724","01-10-1987"
"2167103823","01-01-2007"
"2167103922","01-01-2007"
"2167104120","01-01-2007"
"2167104219","01-01-2007"
"2167104318","01-01-2007"
"2167104417","01-01-2007"
"2167104516","01-01-2007"
"2167104615","01-01-2007"
"2167104714","01-01-2007"
"2167104813","01-01-2007"
"2167104912","01-01-2007"
"2167105110","01-01-2007"
"2167105209","01-01-2007"
"2167105308","01-01-2007"
"2167105407","01-01-2007"
"2167105506","01-01-2007"
"2167105704","01-01-2007"
"2167105803","01-01-2007"
"2167105902","01-01-2007"
"2167106001","01-01-2007"
"2167106197","01-01-2007"
"2167106494","01-01-2007"
"2167106593","01-01-2007"
"2167106692","01-01-2007"
"2167106791","01-01-2007"
"2167107187","01-01-2007"
"2167107286","01-01-2007"
"2167107385","01-01-2007"
"2167107484","01-01-2007"
"2167107583","01-01-2007"
"2167107781","01-01-2007"
"2167107880","01-01-2007"
"2167107979","01-01-2007"
"2167108078","01-01-1995"
"2167108276","01-01-1995"
"2167108474","01-01-1995"
"2167108573","01-01-1995"
"2167108672","01-01-1995"
"2167108771","01-01-1999"
"2167108870","01-01-2007"
"2167108969","01-01-2007"
"2167109068","01-01-2007"
"2167109167","01-01-2007"
"2167109266","01-01-2007"
"2167109365","01-01-2007"
"2167109464","01-01-2007"
"2167109860","01-01-2007"
"2167109959","01-01-2007"
"2167110058","01-01-2007"
"2167110256","01-01-2007"
"2167110355","01-01-2007"
"2167110553","01-01-2007"
"2167110652","01-01-2007"
"2167110850","01-01-2007"
"2167110949","01-01-2007"
"2167111048","01-01-2007"
"2167111147","01-01-2007"
"2167111246","01-01-2007"
"2167111345","01-01-2007"
"2167111444","01-01-2007"
"2167111543","01-01-2007"
"2167111741","01-01-2007"
"2167111840","01-01-2007"
"2167111939","01-01-2007"
"2167112038","01-01-2007"
"2167112236","01-01-2007"
"2167112434","01-01-2007"
"2167112533","01-01-2007"
"2167112731","01-01-2007"
"2167112830","01-01-2007"
"2167112929","01-01-2007"
