89,145,Ecole primaire de Heembeek,Rue des Trois Pertuis 4,1120,BRUXELLES,6,
90,147,Ecole fondamentale de l'Héliport,Rue Simons 12,1000,BRUXELLES,2,
91,149,Ecole fondamentale de Haren,Rue de la Paroisse 34,1130,BRUXELLES,4,
92,150,Ecole primaire Steyls,Rue Thys‐Vanham 21,1020,BRUXELLES,2,
93,151,Ecole fondamentale du Canal,Rue du Canal 51‐53,1000,BRUXELLES,2,
95,153,Ecole primaire Léon Lepage,Rue des Riches Claires 30,1000,BRUXELLES,3b,
187,155,Ecole maternelle Henriette Dachsbeck,Rue Blaes 47,1000,BRUXELLES,3b,
5016,156,Ecole primaire Robert Catteau,Rue Ernest Allard 49,1000,BRUXELLES,8,
96,157,Ecole primaire des Pagodes,Avenue des Pagodes 305,1020,BRUXELLES,7,
97,158,Ecole primaire des Magnolias,Avenue des Magnolias 1,1020,BRUXELLES,4,
98,159,Ecole fondamentale du Tivoli,Rue Claessens 59,1020,BRUXELLES,4,
99,160,Ecole primaire des Eburons,Rue des Eburons 46,1000,BRUXELLES,2,
101,163,Ecole fondamentale Emile Jacqmain,"Rue Véronèse, 21",1000,BRUXELLES,14,
102,164,Ecole fondamentale Congrès‐Dachsbeck,Rue de l'Enseignement 96,1000,BRUXELLES,6,
103,165,Ecole primaire Henriette Dachsbeck,Rue de Rollebeek 22,1000,BRUXELLES,6,
104,166,Ecole primaire Adolphe Max,Rue Charles‐Quint 31,1000,BRUXELLES,5,
105,167,Ecole fondamentale Emile André,Rue Haute 107,1000,BRUXELLES,8,
106,168,Ecole fondamentale Baron Louis Steens,Rue Haute 255,1000,BRUXELLES,1,
107,169,Ecole primaire des Six‐Jetons,Rue des Six Jetons 55,1000,BRUXELLES,1,
108,170,Ecole fondamentale libre Notre‐Dame de Laeken,Rue de Molenbeek 122,1020,BRUXELLES,2,
109,171,Ecole fondamentale Saint‐Nicolas,Rue Léon XIII 13,1120,BRUXELLES,10,
110,172,Ecole fondamentale libre Regina Pacis,Avenue des Magnolias 4,1020,BRUXELLES,7,
110,173,Ecole fondamentale libre Regina Pacis,Rue du Disque 34,1020,BRUXELLES,7,
111,174,Ecole primaire Maria Assumpta,Avenue Wannecouter 115,1020,BRUXELLES,16,
112,175,Ecole primaire libre Sainte‐Ursule,Rue de Molenbeek 175,1020,BRUXELLES,4,
113,176,"Institut Maris Stella ‐ Saint‐Lambert ‐ Enseign.fondamental",Rue Stevens‐Delannoy 101,1020,BRUXELLES,6,
114,177,Ecole fondamentale libre Saint‐Louis 2 (Cardinal),Rue du Cardinal 32,1000,BRUXELLES,3b,
116,180,"Ecole fondamentale libre Enfant Jésus ‐ Saint Jean‐Baptiste",Rue T'Kint 28,1000,BRUXELLES,1,
117,181,Ecole fondamentale libre La Retraite du Sacré‐Coeur,Rue Charles‐Quint 114,1000,BRUXELLES,11,
95320,184,Institut Saint‐Louis 3,Rue de Verviers 18,1210,"SAINT‐JOSSE‐TEN‐OODE",2,
3169,185,Ecole fondamentale libre Saint‐Louis 1 (Marais),Rue du Marais 115,1000,BRUXELLES,4,
3170,186,Ecole fondamentale libre ‐ Institut Saint‐Thomas d'Aquin,Rue du Grand‐Serment 31,1000,BRUXELLES,1,
120,187,Ecole fondamentale libre Saint‐Roch,Avenue de l'Héliport 36,1000,BRUXELLES,1,
121,188,Ecole primaire libre ‐ Institut du Christ‐Roi,Avenue Wannecouter 113,1020,BRUXELLES,18,
5030,191,Ecole fondamentale annexée Rive Gauche ‐ Bruxelles,Rue Princesse Clémentine 46,1020,BRUXELLES,1,
5027,212,Ecole fondamentale annexée Gatti de Gamond ‐ Bruxelles,Rue du Canon 9,1000,BRUXELLES,2,
5029,214,Ecole fondamentale annexée Bruxelles II,Rue Marie‐Christine 37,1020,BRUXELLES,2,
184,293,Ecole maternelle Adolphe Max,"Boulevard Clovis, 42",1000,BRUXELLES,4,
184,294,Ecole maternelle Adolphe Max,Rue Charles Quint 27,1000,BRUXELLES,2,
196,312,Ecole fondamentale Maria‐Assumpta ‐ Sainte‐Elisabeth,Rue de Beyseghem 174,1120,BRUXELLES,15,
3183,314,Ecole maternelle de la Marolle,Rue Sainte‐Thérèse 1,1000,BRUXELLES,4,
197,315,Complexe scolaire La Farandole & Les Marronniers,Rue Fétis 29,1040,ETTERBEEK,11,
197,316,Complexe scolaire La Farandole & Les Marronniers,Chaussée Saint‐Pierre 193,1040,ETTERBEEK,6,
198,317,Ecole communale Colombe de la Paix,Rue Gérard 21,1040,ETTERBEEK,13,
198,318,Ecole communale Colombe de la Paix,Rue Général Tombeur 78,1040,ETTERBEEK,6,
199,319,Ecole communale fondamentale Claire Joie,Rue Beckers 129,1040,ETTERBEEK,8,
200,320,Ecole communale primaire Paradis des Enfants,"Avenue Commandant Lothaire 36A",1040,ETTERBEEK,18,
201,321,Communauté éducative Sainte‐Geneviève,Avenue Eudore Pirmez 45,1040,ETTERBEEK,3a,
202,322,Ecole fondamentale libre ‐ Institut Sainte‐Anne,Rue du Fort de Boncelles 8,1040,ETTERBEEK,13,
205,325,Ecole fondamentale libre ‐ Institut Saint‐Stanislas,Avenue des Nerviens 115,1040,ETTERBEEK,7,
206,326,Ecole primaire Centre scolaire Saint‐Michel,Boulevard Saint‐Michel 26,1040,ETTERBEEK,18,
223,360,Ecole fondamentale libre Al‐Ghazali,"Avenue d'Auderghem, 158",1040,ETTERBEEK,6,
225,362,Ecole communale La Source,Rue du Doolegt 6,1140,EVERE,4,
226,364,Ecole communale L'Aubier,Av du Cimetière de Bruxelles 50,1140,EVERE,5,
227,365,Ecole communale Clair‐vivre Alpha,Place Salvador Allende 1,1140,EVERE,11,
227,367,Ecole communale Clair‐vivre Alpha,Avenue Notre‐Dame 40,1140,EVERE,11,
228,368,Ecole fondamentale libre Aurore,"Av des Anciens Combattants, 61",1140,EVERE,11,
229,369,Ecole fondamentale libre Notre‐Dame Immaculée,Rue Père Damien 40,1140,EVERE,8,
230,370,Ecole fondamentale libre Saint‐Joseph,Rue du Bon Pasteur 3,1140,EVERE,3b,
234,383,Ecole maternelle Kaléidoscope,Rue Timmermans 55,1190,FOREST,5,
235,384,Ecole communale Les Bruyères,Rue Jef Devos 55,1190,FOREST,4,
236,385,École fondamentale du Vignoble,Avenue de Monte‐Carlo 91,1190,FOREST,10,
237,386,Ecole fondamentale La preuve par 9,Rue du Monténégro 159,1190,FOREST,2,
239,391,Ecole communale n°12 Les Sept Bonniers,Avenue des Sept‐Bonniers 210,1190,FOREST,17,
240,392,Ecole fondamentale libre Saint‐Antoine,Rue Pierre Decoster 21,1190,FOREST,2,
241,393,Ecole fondamentale libre Saint‐Augustin,Avenue Saint‐Augustin 16,1190,FOREST,7,
242,394,Ecole fondamentale libre Sainte‐Ursule,Avenue Rousseau 46,1190,FOREST,8,
243,395,Ecole fondamentale libre Sainte‐Alène,Avenue Kersbeek 7,1190,FOREST,2,
243,396,Ecole fondamentale libre Sainte‐Alène,Avenue Kersbeek 130,1190,FOREST,2,
244,398,Ecole fondamentale libre ‐ Institut Saint‐Denis,Chaussée de Bruxelles 217,1190,FOREST,2,
245,399,Ecole fondamentale libre Nos Enfants,Rue Meyerbeer 15,1190,FOREST,20,
245,400,Ecole fondamentale libre Nos Enfants,Avenue Albert 242,1190,FOREST,19,
245,401,Ecole fondamentale libre Nos Enfants,Chaussée d'Alsemberg 346,1190,FOREST,20,
253,422,Ecole fondamentale libre En Couleurs,Rue Rodenbach 37,1190,FOREST,19,
254,423,Ecole communale Arc‐en‐ciel,Avenue du Globe 40,1190,FOREST,15,
256,426,Ecole fondamentale libre Beth Aviv,Avenue Molière 123,1190,FOREST,20,
257,427,"CS Notre‐Dame de La Sagesse Ecole maternelle La Colombe",Rue Louis Delhove 45,1083,GANSHOREN,9,
95511,428,Ecole maternelle communale Les Bruyères,Clos Jacques Wagner 29,1083,GANSHOREN,8,
258,429,Ecole maternelle communale Nos Bambins,Rue Sergent Sorensen 30,1083,GANSHOREN,8,
259,430,"Centre scolaire Notre‐Dame de La Sagesse Sectionprimaire",Avenue Van Overbeke 10A,1083,GANSHOREN,10,
260,431,Ecole primaire libre ‐ Collège du Sacré‐Coeur,Rue Louis Delhove 65,1083,GANSHOREN,15,
5039,438,Ecole fondamentale annexée Ganshoren,Avenue Marie de Hongrie 60,1083,GANSHOREN,5,
267,439,Ecole primaire et maternelle n°2 et 14,Rue Gray 126,1050,IXELLES,7,
267,440,Ecole primaire et maternelle n°2 et 14,Rue Sans‐Souci 130,1050,IXELLES,4,
268,441,"GS Eugene Flagey ‐ du Coeur d'Ixelles Ecole communale n°4",Chaussée d'Ixelles 132,1050,IXELLES,2,
269,442,Groupe scolaire n°5 des Etangs,Rue Alphonse De Witte 31,1050,IXELLES,6,
270,443,Ecole n°7 du Bois de la Cambre ‐ Marinette De Cloedt,Clos du Cheval d'Argent 1,1050,IXELLES,12,
270,444,Ecole n°7 du Bois de la Cambre ‐ Marinette De Cloedt,"Avenue du Bois de la Cambre 173",1050,IXELLES,14,
271,445,Ecole du Bois de la Cambre n°8 ‐ Marinette De Cloedt,"Avenue du Bois de la Cambre 175",1050,IXELLES,10,
272,446,Groupe scolaire de Ten Bosch,Rue Américaine 136,1050,IXELLES,17,
272,447,Groupe scolaire de Ten Bosch,Rue de l'Aqueduc 161,1050,IXELLES,16,
272,448,Groupe scolaire de Ten Bosch,Rue Renier Chalon 15,1050,IXELLES,20,
273,449,Groupe scolaire Les Jardins d'Elise ‐ Ecole n°12 d'Ixelles,Rue Elise 100,1050,IXELLES,11,
274,450,Ecole fondamentale libre Saint‐André,"Chaussée de Boondael, 216",1050,IXELLES,17,
275,451,Ecole fond. libre subventionnée Saint‐Joseph Boondael,Chaussée de Boondael 621,1050,IXELLES,19,
276,452,Ecole fondamentale libre Le Jardin des Ecoliers,Rue de la Croix 37,1050,IXELLES,8,
277,453,Centre scolaire de Ma Campagne ‐ Fondam. libre,Rue Africaine 3,1050,IXELLES,8,
278,454,"Ecole fondamentale libre ‐ Institut Saint‐Boniface‐Parnasse",Rue du Viaduc 82,1050,IXELLES,10,
95250,455,"Ecole fondamentale libre Sainte Trinité‐Cardinal Mercier2",Rue du Nid 8,1050,IXELLES,7,
279,456,"Ecole fondamentale libre Sainte Trinité ‐ Cardinal Mercier1",Avenue de la Couronne 105,1050,IXELLES,3a,
302,504,École fondamentale Catteau ‐ Aurore,Rue de l'Aurore 23‐29,1000,BRUXELLES,19,
306,602,Ecole Van Helmont,Avenue de Levis Mirepoix 129,1090,JETTE,5,
307,603,Ecole fondamentale communale Jacques Brel,Rue Esseghem 101,1090,JETTE,5,
308,604,Ecole fondamentale communale Frans Van Asbroeck,Rue Hubert Van Eepoel 1,1090,JETTE,5,
309,605,Ecole fondamentale communale Clarté,Rue Berré 23,1090,JETTE,5,
309,606,Ecole fondamentale communale Clarté,Avenue Firmin Lecharlier 80,1090,JETTE,5,
310,607,Ecole fondamentale communale Aurore,Rue Maurice Van Rolleghem 4,1090,JETTE,11,
95633,608,École Les petits ballons,Rue Bonaventure 10‐14,1090,JETTE,8,
95633,609,École Les petits ballons,Avenue Guillaume De Greef 2,1090,JETTE,4,
311,610,Ecole Arbre Ballon,Avenue du Laerbeek 102,1090,JETTE,11,
95633,611,École Les petits ballons,Chaussée de Wemmel 309,1090,JETTE,14,
312,612,Ecole primaire libre Saint‐Michel Cycle 8‐12,Rue Léopold Ier 362,1090,JETTE,9,
314,614,Ecole primaire libre Notre‐Dame de Lourdes,Rue Léopold Ier 307,1090,JETTE,4,
